date	high	low
20101001	59.5	57.0
20101002	59.5	53.4
20101003	59.0	53.4
20101004	59.4	54.7
20101005	58.3	52.7
20101006	62.1	54.5
20101007	60.8	53.4
20101008	61.0	52.5
20101009	62.4	52.9
20101010	65.3	54.0
20101011	70.3	55.0
20101012	82.2	58.6
20101013	75.6	57.4
20101014	75.7	57.7
20101015	68.4	54.7
20101016	56.3	52.7
20101017	54.3	51.8
20101018	54.9	51.4
20101019	54.7	50.2
20101020	56.5	50.0
20101021	62.6	55.4
20101022	59.9	53.8
20101023	62.2	52.2
20101024	63.0	57.9
20101025	58.5	54.3
20101026	59.5	51.3
20101027	59.4	49.8
20101028	66.6	55.8
20101029	64.9	53.2
20101030	59.9	52.3
20101031	60.4	53.2
20101101	64.4	54.1
20101102	66.6	54.7
20101103	67.8	57.2
20101104	73.2	62.4
20101105	72.1	54.1
20101106	59.0	53.2
20101107	59.2	56.1
20101108	57.4	53.2
20101109	56.8	47.1
20101110	59.4	53.1
20101111	61.2	51.8
20101112	59.2	49.6
20101113	63.1	50.7
20101114	72.1	57.0
20101115	75.4	62.4
20101116	65.5	55.8
20101117	60.1	52.5
20101118	55.0	48.2
20101119	55.0	48.9
20101120	54.3	44.8
20101121	54.1	47.8
20101122	54.5	48.2
20101123	53.4	50.2
20101124	49.6	42.3
20101125	49.8	43.0
20101126	50.9	44.4
20101127	52.5	47.7
20101128	50.5	44.6
20101129	51.3	41.9
20101130	51.8	44.2
20101201	52.2	45.3
20101202	53.4	49.3
20101203	53.2	49.1
20101204	55.2	50.4
20101205	56.3	52.3
20101206	59.5	54.1
20101207	57.2	49.5
20101208	54.5	50.5
20101209	56.5	52.9
20101210	57.9	53.4
20101211	56.1	54.1
20101212	55.6	51.6
20101213	55.8	53.8
20101214	57.4	53.4
20101215	52.9	47.3
20101216	52.2	43.2
20101217	52.2	46.2
20101218	57.6	46.9
20101219	57.6	51.8
20101220	53.4	50.2
20101221	57.2	48.6
20101222	57.6	51.8
20101223	53.6	44.4
20101224	57.9	46.4
20101225	57.6	46.8
20101226	56.7	49.3
20101227	56.3	45.9
20101228	53.6	49.6
20101229	55.6	48.7
20101230	50.4	41.5
20101231	50.2	42.6
20110101	48.2	43.3
20110102	48.0	44.1
20110103	51.3	46.4
20110104	50.9	43.3
20110105	52.3	44.8
20110106	52.5	40.3
20110107	45.1	39.7
20110108	43.2	40.6
20110109	44.6	40.5
20110110	47.1	40.1
20110111	47.1	43.5
20110112	51.6	46.8
20110113	53.4	48.7
20110114	54.0	51.3
20110115	59.7	49.5
20110116	60.3	46.6
20110117	52.5	47.7
20110118	53.4	47.3
20110119	57.9	51.4
20110120	58.1	49.1
20110121	58.5	50.2
20110122	59.2	51.1
20110123	59.9	51.8
20110124	61.0	49.1
20110125	58.6	49.5
20110126	59.0	51.1
20110127	60.3	51.1
20110128	58.3	42.8
20110129	53.8	48.2
20110130	54.0	50.5
20110131	53.1	44.6
20110201	59.9	45.9
20110202	60.8	51.8
20110203	59.2	44.6
20110204	54.9	44.6
20110205	64.8	48.7
20110206	73.2	57.6
20110207	69.3	51.1
20110208	57.6	51.8
20110209	58.3	48.9
20110210	59.7	44.8
20110211	59.2	45.3
20110212	60.3	49.3
20110213	55.9	44.4
20110214	57.0	48.0
20110215	58.5	51.1
20110216	57.7	48.6
20110217	50.7	44.6
20110218	50.0	42.3
20110219	46.0	39.9
20110220	50.0	39.7
20110221	50.2	41.5
20110222	51.8	44.6
20110223	51.8	42.4
20110224	51.3	44.4
20110225	51.1	44.4
20110226	46.2	37.4
20110227	50.2	39.2
20110228	48.9	43.2
20110301	55.2	49.1
20110302	56.3	48.6
20110303	54.5	51.1
20110304	56.1	46.6
20110305	58.3	47.7
20110306	56.3	52.9
20110307	55.6	49.3
20110308	55.2	48.9
20110309	56.1	48.7
20110310	57.4	48.2
20110311	54.5	45.5
20110312	54.9	46.6
20110313	61.7	51.1
20110314	59.4	52.7
20110315	58.5	53.6
20110316	56.3	52.5
20110317	54.7	45.3
20110318	54.5	46.9
20110319	51.1	46.4
20110320	53.1	48.6
20110321	52.5	46.9
20110322	54.9	47.1
20110323	54.9	48.7
20110324	54.1	46.8
20110325	54.5	47.1
20110326	53.2	49.6
20110327	54.3	46.0
20110328	54.7	46.2
20110329	57.2	46.8
20110330	74.1	51.4
20110331	71.1	55.9
20110401	70.2	57.4
20110402	60.3	53.2
20110403	59.4	45.9
20110404	66.0	49.5
20110405	63.9	51.1
20110406	56.7	47.8
20110407	54.0	45.9
20110408	51.1	44.6
20110409	54.0	45.5
20110410	54.3	48.0
20110411	54.9	49.8
20110412	53.6	45.5
20110413	53.2	47.7
20110414	53.6	45.7
20110415	56.8	48.2
20110416	57.6	50.7
20110417	55.2	51.4
20110418	56.1	51.3
20110419	56.3	50.7
20110420	59.4	50.2
20110421	58.5	48.9
20110422	55.2	47.7
20110423	55.8	49.5
20110424	56.7	52.7
20110425	57.0	53.1
20110426	55.9	47.7
20110427	56.1	49.1
20110428	54.7	49.8
20110429	56.8	46.6
20110430	62.2	55.2
20110501	64.6	49.1
20110502	60.3	48.7
20110503	57.4	48.9
20110504	69.4	50.9
20110505	66.9	51.3
20110506	58.1	50.5
20110507	54.5	49.5
20110508	53.4	50.2
20110509	56.3	46.4
20110510	55.6	48.9
20110511	54.3	49.6
20110512	56.7	51.3
20110513	55.0	47.7
20110514	54.1	50.2
20110515	55.0	45.1
20110516	55.6	50.0
20110517	55.4	50.2
20110518	56.8	51.3
20110519	55.8	49.8
20110520	55.8	51.3
20110521	56.7	50.9
20110522	56.1	49.5
20110523	57.0	50.7
20110524	55.6	48.7
20110525	55.8	50.5
20110526	57.0	51.4
20110527	57.4	53.2
20110528	56.8	52.3
20110529	57.0	46.6
20110530	56.3	49.3
20110531	55.4	52.9
20110601	56.7	48.9
20110602	56.5	52.2
20110603	56.3	50.4
20110604	61.0	53.6
20110605	61.7	52.9
20110606	58.5	54.5
20110607	58.3	52.5
20110608	57.9	53.6
20110609	56.8	52.9
20110610	58.6	52.7
20110611	57.6	51.3
20110612	55.6	52.2
20110613	57.9	52.9
20110614	57.6	50.9
20110615	60.8	53.1
20110616	57.9	51.8
20110617	55.9	51.3
20110618	57.0	52.3
20110619	59.7	52.0
20110620	72.9	55.9
20110621	62.8	54.7
20110622	60.4	51.3
20110623	57.7	52.5
20110624	57.4	52.0
20110625	56.7	51.8
20110626	58.3	52.3
20110627	57.0	50.4
20110628	57.7	52.0
20110629	57.2	53.4
20110630	59.7	52.7
20110701	61.0	54.0
20110702	61.3	52.2
20110703	67.3	54.7
20110704	61.5	53.8
20110705	56.1	50.2
20110706	55.9	51.4
20110707	56.8	51.3
20110708	56.5	51.6
20110709	55.0	52.3
20110710	59.0	53.1
20110711	58.3	51.8
20110712	57.2	52.2
20110713	57.0	54.3
20110714	58.1	53.6
20110715	57.4	53.8
20110716	59.5	55.0
20110717	60.3	55.0
20110718	60.3	55.0
20110719	59.9	56.1
20110720	61.9	56.1
20110721	60.8	54.9
20110722	59.7	53.6
20110723	60.4	54.0
20110724	60.4	57.0
20110725	60.6	54.5
20110726	59.5	53.6
20110727	58.1	53.4
20110728	57.7	53.1
20110729	59.0	55.0
20110730	60.4	57.4
20110731	60.4	56.8
20110801	60.4	56.3
20110802	59.9	55.0
20110803	59.2	54.1
20110804	59.2	55.6
20110805	59.4	54.5
20110806	58.8	54.5
20110807	58.1	54.1
20110808	58.5	52.7
20110809	58.5	53.6
20110810	59.4	54.7
20110811	56.7	53.2
20110812	56.8	53.2
20110813	59.4	53.6
20110814	59.9	54.3
20110815	59.9	55.0
20110816	60.1	52.7
20110817	57.2	53.4
20110818	57.4	52.7
20110819	56.3	53.2
20110820	60.6	53.8
20110821	58.8	54.3
20110822	58.8	56.7
20110823	59.2	54.5
20110824	58.8	53.4
20110825	58.8	54.1
20110826	57.9	55.0
20110827	57.0	52.5
20110828	57.0	52.5
20110829	60.1	53.8
20110830	59.5	54.1
20110831	61.2	52.9
20110901	58.3	54.0
20110902	59.2	53.4
20110903	57.2	53.6
20110904	57.9	54.5
20110905	57.7	54.0
20110906	58.3	50.5
20110907	58.1	50.9
20110908	57.9	52.0
20110909	57.9	53.4
20110910	59.0	53.6
20110911	65.3	58.3
20110912	63.0	58.3
20110913	62.8	56.7
20110914	57.7	54.9
20110915	57.9	55.2
20110916	58.8	55.0
20110917	59.4	54.0
20110918	64.2	55.4
20110919	68.7	55.6
20110920	68.9	57.6
20110921	64.9	53.2
20110922	57.4	53.4
20110923	57.7	53.4
20110924	59.7	55.0
20110925	62.4	58.8
20110926	61.9	54.0
20110927	64.9	55.9
20110928	76.5	60.1
20110929	72.7	55.2
20110930	65.5	59.5
20111001	68.2	60.1
20111002	66.2	57.2
20111003	63.0	57.2
20111004	61.5	56.5
20111005	61.3	56.7
20111006	59.2	55.0
20111007	59.9	52.9
20111008	61.5	54.0
20111009	59.5	55.0
20111010	62.6	58.8
20111011	62.1	60.1
20111012	69.1	57.4
20111013	74.5	58.8
20111014	77.5	62.8
20111015	71.6	57.7
20111016	63.1	60.3
20111017	72.7	55.6
20111018	66.7	55.0
20111019	60.6	57.0
20111020	60.3	55.9
20111021	59.7	53.2
20111022	73.6	56.5
20111023	76.5	61.3
20111024	73.0	55.0
20111025	57.9	54.3
20111026	63.3	49.6
20111027	65.5	51.1
20111028	64.6	54.1
20111029	64.4	52.5
20111030	62.8	53.6
20111031	59.9	52.3
20111101	68.2	52.3
20111102	68.2	57.6
