symbol,date,price
GOOG,Jan 2000,1394.46
GOOG,Feb 2000,1366.42
GOOG,Mar 2000,1498.58
GOOG,Apr 2000,1452.43
GOOG,May 2000,1420.6
GOOG,Jun 2000,1454.6
GOOG,Jul 2000,1430.83
GOOG,Aug 2000,1517.68
GOOG,Sep 2000,1436.51
GOOG,Oct 2000,1429.4
GOOG,Nov 2000,1314.95
GOOG,Dec 2000,1320.28
GOOG,Jan 2001,1366.01
GOOG,Feb 2001,1239.94
GOOG,Mar 2001,1160.33
GOOG,Apr 2001,1249.46
GOOG,May 2001,1255.82
GOOG,Jun 2001,1224.38
GOOG,Jul 2001,1211.23
GOOG,Aug 2001,1133.58
GOOG,Sep 2001,1040.94
GOOG,Oct 2001,1059.78
GOOG,Nov 2001,1139.45
GOOG,Dec 2001,1148.08
GOOG,Jan 2002,1130.2
GOOG,Feb 2002,1106.73
GOOG,Mar 2002,1147.39
GOOG,Apr 2002,1076.92
GOOG,May 2002,1067.14
GOOG,Jun 2002,989.82
GOOG,Jul 2002,911.62
GOOG,Aug 2002,916.07
GOOG,Sep 2002,815.28
GOOG,Oct 2002,885.76
GOOG,Nov 2002,936.31
GOOG,Dec 2002,879.82
GOOG,Jan 2003,855.7
GOOG,Feb 2003,841.15
GOOG,Mar 2003,848.18
GOOG,Apr 2003,916.92
GOOG,May 2003,963.59
GOOG,Jun 2003,974.5
GOOG,Jul 2003,990.31
GOOG,Aug 2003,1008.01
GOOG,Sep 2003,995.97
GOOG,Oct 2003,1050.71
GOOG,Nov 2003,1058.2
GOOG,Dec 2003,1111.92
GOOG,Jan 2004,1131.13
GOOG,Feb 2004,1144.94
GOOG,Mar 2004,1126.21
GOOG,Apr 2004,1107.3
GOOG,May 2004,1120.68
GOOG,Jun 2004,1140.84
GOOG,Jul 2004,1101.72
GOOG,Aug 2004,1104.24
GOOG,Sep 2004,1114.58
GOOG,Oct 2004,1130.2
GOOG,Nov 2004,1173.82
GOOG,Dec 2004,1211.92
GOOG,Jan 2005,1181.27
GOOG,Feb 2005,1203.6
GOOG,Mar 2005,1180.59
GOOG,Apr 2005,1156.85
GOOG,May 2005,1191.5
GOOG,Jun 2005,1191.33
GOOG,Jul 2005,1234.18
GOOG,Aug 2005,1220.33
GOOG,Sep 2005,1228.81
GOOG,Oct 2005,1207.01
GOOG,Nov 2005,1249.48
GOOG,Dec 2005,1248.29
GOOG,Jan 2006,1280.08
GOOG,Feb 2006,1280.66
GOOG,Mar 2006,1294.87
GOOG,Apr 2006,1310.61
GOOG,May 2006,1270.09
GOOG,Jun 2006,1270.2
GOOG,Jul 2006,1276.66
GOOG,Aug 2006,1303.82
GOOG,Sep 2006,1335.85
GOOG,Oct 2006,1377.94
GOOG,Nov 2006,1400.63
GOOG,Dec 2006,1418.3
GOOG,Jan 2007,1438.24
GOOG,Feb 2007,1406.82
GOOG,Mar 2007,1420.86
GOOG,Apr 2007,1482.37
GOOG,May 2007,1530.62
GOOG,Jun 2007,1503.35
GOOG,Jul 2007,1455.27
GOOG,Aug 2007,1473.99
GOOG,Sep 2007,1526.75
GOOG,Oct 2007,1549.38
GOOG,Nov 2007,1481.14
GOOG,Dec 2007,1468.36
GOOG,Jan 2008,1378.55
GOOG,Feb 2008,1330.63
GOOG,Mar 2008,1322.7
GOOG,Apr 2008,1385.59
GOOG,May 2008,1400.38
GOOG,Jun 2008,1280
GOOG,Jul 2008,1267.38
GOOG,Aug 2008,1282.83
GOOG,Sep 2008,1166.36
GOOG,Oct 2008,968.75
GOOG,Nov 2008,896.24
GOOG,Dec 2008,903.25
GOOG,Jan 2009,825.88
GOOG,Feb 2009,735.09
GOOG,Mar 2009,797.87
GOOG,Apr 2009,872.81
GOOG,May 2009,919.14
GOOG,Jun 2009,919.32
GOOG,Jul 2009,987.48
GOOG,Aug 2009,1020.62
GOOG,Sep 2009,1057.08
GOOG,Oct 2009,1036.19
GOOG,Nov 2009,1095.63
GOOG,Dec 2009,1115.1
GOOG,Jan 2010,1073.87
GOOG,Feb 2010,1104.49
GOOG,Mar 2010,1140.45
MSFT,Jan 2000,39.81
MSFT,Feb 2000,36.35
MSFT,Mar 2000,43.22
MSFT,Apr 2000,28.37
MSFT,May 2000,25.45
MSFT,Jun 2000,32.54
MSFT,Jul 2000,28.4
MSFT,Aug 2000,28.4
MSFT,Sep 2000,24.53
MSFT,Oct 2000,28.02
MSFT,Nov 2000,23.34
MSFT,Dec 2000,17.65
MSFT,Jan 2001,24.84
MSFT,Feb 2001,24
MSFT,Mar 2001,22.25
MSFT,Apr 2001,27.56
MSFT,May 2001,28.14
MSFT,Jun 2001,29.7
MSFT,Jul 2001,26.93
MSFT,Aug 2001,23.21
MSFT,Sep 2001,20.82
MSFT,Oct 2001,23.65
MSFT,Nov 2001,26.12
MSFT,Dec 2001,26.95
MSFT,Jan 2002,25.92
MSFT,Feb 2002,23.73
MSFT,Mar 2002,24.53
MSFT,Apr 2002,21.26
MSFT,May 2002,20.71
MSFT,Jun 2002,22.25
MSFT,Jul 2002,19.52
MSFT,Aug 2002,19.97
MSFT,Sep 2002,17.79
MSFT,Oct 2002,21.75
MSFT,Nov 2002,23.46
MSFT,Dec 2002,21.03
MSFT,Jan 2003,19.31
MSFT,Feb 2003,19.34
MSFT,Mar 2003,19.76
MSFT,Apr 2003,20.87
MSFT,May 2003,20.09
MSFT,Jun 2003,20.93
MSFT,Jul 2003,21.56
MSFT,Aug 2003,21.65
MSFT,Sep 2003,22.69
MSFT,Oct 2003,21.45
MSFT,Nov 2003,21.1
MSFT,Dec 2003,22.46
MSFT,Jan 2004,22.69
MSFT,Feb 2004,21.77
MSFT,Mar 2004,20.46
MSFT,Apr 2004,21.45
MSFT,May 2004,21.53
MSFT,Jun 2004,23.44
MSFT,Jul 2004,23.38
MSFT,Aug 2004,22.47
MSFT,Sep 2004,22.76
MSFT,Oct 2004,23.02
MSFT,Nov 2004,24.6
MSFT,Dec 2004,24.52
MSFT,Jan 2005,24.11
MSFT,Feb 2005,23.15
MSFT,Mar 2005,22.24
MSFT,Apr 2005,23.28
MSFT,May 2005,23.82
MSFT,Jun 2005,22.93
MSFT,Jul 2005,23.64
MSFT,Aug 2005,25.35
MSFT,Sep 2005,23.83
MSFT,Oct 2005,23.8
MSFT,Nov 2005,25.71
MSFT,Dec 2005,24.29
MSFT,Jan 2006,26.14
MSFT,Feb 2006,25.04
MSFT,Mar 2006,25.36
MSFT,Apr 2006,22.5
MSFT,May 2006,21.19
MSFT,Jun 2006,21.8
MSFT,Jul 2006,22.51
MSFT,Aug 2006,24.13
MSFT,Sep 2006,25.68
MSFT,Oct 2006,26.96
MSFT,Nov 2006,27.66
MSFT,Dec 2006,28.13
MSFT,Jan 2007,29.07
MSFT,Feb 2007,26.63
MSFT,Mar 2007,26.35
MSFT,Apr 2007,28.3
MSFT,May 2007,29.11
MSFT,Jun 2007,27.95
MSFT,Jul 2007,27.5
MSFT,Aug 2007,27.34
MSFT,Sep 2007,28.04
MSFT,Oct 2007,35.03
MSFT,Nov 2007,32.09
MSFT,Dec 2007,34
MSFT,Jan 2008,31.13
MSFT,Feb 2008,26.07
MSFT,Mar 2008,27.21
MSFT,Apr 2008,27.34
MSFT,May 2008,27.25
MSFT,Jun 2008,26.47
MSFT,Jul 2008,24.75
MSFT,Aug 2008,26.36
MSFT,Sep 2008,25.78
MSFT,Oct 2008,21.57
MSFT,Nov 2008,19.66
MSFT,Dec 2008,18.91
MSFT,Jan 2009,16.63
MSFT,Feb 2009,15.81
MSFT,Mar 2009,17.99
MSFT,Apr 2009,19.84
MSFT,May 2009,20.59
MSFT,Jun 2009,23.42
MSFT,Jul 2009,23.18
MSFT,Aug 2009,24.43
MSFT,Sep 2009,25.49
MSFT,Oct 2009,27.48
MSFT,Nov 2009,29.27
MSFT,Dec 2009,30.34
MSFT,Jan 2010,28.05
MSFT,Feb 2010,28.67
MSFT,Mar 2010,28.8
AMZN,Jan 2000,64.56
AMZN,Feb 2000,68.87
AMZN,Mar 2000,67
AMZN,Apr 2000,55.19
AMZN,May 2000,48.31
AMZN,Jun 2000,36.31
AMZN,Jul 2000,30.12
AMZN,Aug 2000,41.5
AMZN,Sep 2000,38.44
AMZN,Oct 2000,36.62
AMZN,Nov 2000,24.69
AMZN,Dec 2000,15.56
AMZN,Jan 2001,17.31
AMZN,Feb 2001,10.19
AMZN,Mar 2001,10.23
AMZN,Apr 2001,15.78
AMZN,May 2001,16.69
AMZN,Jun 2001,14.15
AMZN,Jul 2001,12.49
AMZN,Aug 2001,8.94
AMZN,Sep 2001,5.97
AMZN,Oct 2001,6.98
AMZN,Nov 2001,11.32
AMZN,Dec 2001,10.82
AMZN,Jan 2002,14.19
AMZN,Feb 2002,14.1
AMZN,Mar 2002,14.3
AMZN,Apr 2002,16.69
AMZN,May 2002,18.23
AMZN,Jun 2002,16.25
AMZN,Jul 2002,14.45
AMZN,Aug 2002,14.94
AMZN,Sep 2002,15.93
AMZN,Oct 2002,19.36
AMZN,Nov 2002,23.35
AMZN,Dec 2002,18.89
AMZN,Jan 2003,21.85
AMZN,Feb 2003,22.01
AMZN,Mar 2003,26.03
AMZN,Apr 2003,28.69
AMZN,May 2003,35.89
AMZN,Jun 2003,36.32
AMZN,Jul 2003,41.64
AMZN,Aug 2003,46.32
AMZN,Sep 2003,48.43
AMZN,Oct 2003,54.43
AMZN,Nov 2003,53.97
AMZN,Dec 2003,52.62
AMZN,Jan 2004,50.4
AMZN,Feb 2004,43.01
AMZN,Mar 2004,43.28
AMZN,Apr 2004,43.6
AMZN,May 2004,48.5
AMZN,Jun 2004,54.4
AMZN,Jul 2004,38.92
AMZN,Aug 2004,38.14
AMZN,Sep 2004,40.86
AMZN,Oct 2004,34.13
AMZN,Nov 2004,39.68
AMZN,Dec 2004,44.29
AMZN,Jan 2005,43.22
AMZN,Feb 2005,35.18
AMZN,Mar 2005,34.27
AMZN,Apr 2005,32.36
AMZN,May 2005,35.51
AMZN,Jun 2005,33.09
AMZN,Jul 2005,45.15
AMZN,Aug 2005,42.7
AMZN,Sep 2005,45.3
AMZN,Oct 2005,39.86
AMZN,Nov 2005,48.46
AMZN,Dec 2005,47.15
AMZN,Jan 2006,44.82
AMZN,Feb 2006,37.44
AMZN,Mar 2006,36.53
AMZN,Apr 2006,35.21
AMZN,May 2006,34.61
AMZN,Jun 2006,38.68
AMZN,Jul 2006,26.89
AMZN,Aug 2006,30.83
AMZN,Sep 2006,32.12
AMZN,Oct 2006,38.09
AMZN,Nov 2006,40.34
AMZN,Dec 2006,39.46
AMZN,Jan 2007,37.67
AMZN,Feb 2007,39.14
AMZN,Mar 2007,39.79
AMZN,Apr 2007,61.33
AMZN,May 2007,69.14
AMZN,Jun 2007,68.41
AMZN,Jul 2007,78.54
AMZN,Aug 2007,79.91
AMZN,Sep 2007,93.15
AMZN,Oct 2007,89.15
AMZN,Nov 2007,90.56
AMZN,Dec 2007,92.64
AMZN,Jan 2008,77.7
AMZN,Feb 2008,64.47
AMZN,Mar 2008,71.3
AMZN,Apr 2008,78.63
AMZN,May 2008,81.62
AMZN,Jun 2008,73.33
AMZN,Jul 2008,76.34
AMZN,Aug 2008,80.81
AMZN,Sep 2008,72.76
AMZN,Oct 2008,57.24
AMZN,Nov 2008,42.7
AMZN,Dec 2008,51.28
AMZN,Jan 2009,58.82
AMZN,Feb 2009,64.79
AMZN,Mar 2009,73.44
AMZN,Apr 2009,80.52
AMZN,May 2009,77.99
AMZN,Jun 2009,83.66
AMZN,Jul 2009,85.76
AMZN,Aug 2009,81.19
AMZN,Sep 2009,93.36
AMZN,Oct 2009,118.81
AMZN,Nov 2009,135.91
AMZN,Dec 2009,134.52
AMZN,Jan 2010,125.41
AMZN,Feb 2010,118.4
AMZN,Mar 2010,128.82
IBM,Jan 2000,100.52
IBM,Feb 2000,92.11
IBM,Mar 2000,106.11
IBM,Apr 2000,99.95
IBM,May 2000,96.31
IBM,Jun 2000,98.33
IBM,Jul 2000,100.74
