type,date,Alpha,Delta,Sigma
val1,2015/06/15,110,30,190
val1,2015/06/16,90,48,170
val1,2015/06/17,115,25,210
val1,2015/06/18,143,60,180
val1,2015/06/19,120,40,250
val1,2015/06/20,155,95,215
val1,2015/06/21,185,75,240
val2,2015/06/15,12,22,43
val2,2015/06/16,21,31,50
val2,2015/06/17,27,14,36
val2,2015/06/18,12,30,42
val2,2015/06/19,30,43,55
val2,2015/06/20,18,32,40
val2,2015/06/21,28,45,55
val3,2015/06/15,110,70,80
val3,2015/06/16,95,65,90
val3,2015/06/17,102,85,75
val3,2015/06/18,90,75,104
val3,2015/06/19,105,95,75
val3,2015/06/20,95,86,80
val3,2015/06/21,108,93,70
val4,2015/06/15,11,80,106
val4,2015/06/16,29,50,133
val4,2015/06/17,18,45,87
val4,2015/06/18,47,25,140
val4,2015/06/19,76,32,116
val4,2015/06/20,56,30,164
val4,2015/06/21,85,37,141
