app,date,value
Alpha app,2015/06/24 00:00,24
Alpha app,2015/06/24 01:00,10
Alpha app,2015/06/24 02:00,12
Alpha app,2015/06/24 03:00,14
Alpha app,2015/06/24 04:00,17
Alpha app,2015/06/24 05:00,32
Alpha app,2015/06/24 06:00,19
Alpha app,2015/06/24 07:00,10
Alpha app,2015/06/24 08:00,16
Alpha app,2015/06/24 09:00,25
Alpha app,2015/06/24 10:00,9
Alpha app,2015/06/24 11:00,17
Alpha app,2015/06/24 12:00,11
Alpha app,2015/06/24 13:00,27
Alpha app,2015/06/24 14:00,31
Alpha app,2015/06/24 15:00,25
Alpha app,2015/06/24 16:00,21
Alpha app,2015/06/24 17:00,12
Alpha app,2015/06/24 18:00,7
Alpha app,2015/06/24 19:00,17
Alpha app,2015/06/24 20:00,43
Alpha app,2015/06/24 21:00,11
Alpha app,2015/06/24 22:00,14
Alpha app,2015/06/24 23:00,21
Omega app,2015/06/24 00:00,16
Omega app,2015/06/24 01:00,12
Omega app,2015/06/24 02:00,22
Omega app,2015/06/24 03:00,10
Omega app,2015/06/24 04:00,7
Omega app,2015/06/24 05:00,30
Omega app,2015/06/24 06:00,21
Omega app,2015/06/24 07:00,10
Omega app,2015/06/24 08:00,19
Omega app,2015/06/24 09:00,25
Omega app,2015/06/24 10:00,29
Omega app,2015/06/24 11:00,17
Omega app,2015/06/24 12:00,31
Omega app,2015/06/24 13:00,20
Omega app,2015/06/24 14:00,12
Omega app,2015/06/24 15:00,5
Omega app,2015/06/24 16:00,36
Omega app,2015/06/24 17:00,21
Omega app,2015/06/24 18:00,14
Omega app,2015/06/24 19:00,20
Omega app,2015/06/24 20:00,8
Omega app,2015/06/24 21:00,19
Omega app,2015/06/24 22:00,14
Omega app,2015/06/24 23:00,4
Delta app,2015/06/24 00:00,12
Delta app,2015/06/24 01:00,18
Delta app,2015/06/24 02:00,23
Delta app,2015/06/24 03:00,10
Delta app,2015/06/24 04:00,29
Delta app,2015/06/24 05:00,20
Delta app,2015/06/24 06:00,12
Delta app,2015/06/24 07:00,24
Delta app,2015/06/24 08:00,6
Delta app,2015/06/24 09:00,20
Delta app,2015/06/24 10:00,27
Delta app,2015/06/24 11:00,10
Delta app,2015/06/24 12:00,22
Delta app,2015/06/24 13:00,29
Delta app,2015/06/24 14:00,12
Delta app,2015/06/24 15:00,7
Delta app,2015/06/24 16:00,5
Delta app,2015/06/24 17:00,15
Delta app,2015/06/24 18:00,27
Delta app,2015/06/24 19:00,7
Delta app,2015/06/24 20:00,19
Delta app,2015/06/24 21:00,25
Delta app,2015/06/24 22:00,14
Delta app,2015/06/24 23:00,10
Sigma app,2015/06/24 00:00,29
Sigma app,2015/06/24 01:00,16
Sigma app,2015/06/24 02:00,20
Sigma app,2015/06/24 03:00,16
Sigma app,2015/06/24 04:00,10
Sigma app,2015/06/24 05:00,25
Sigma app,2015/06/24 06:00,12
Sigma app,2015/06/24 07:00,9
Sigma app,2015/06/24 08:00,19
Sigma app,2015/06/24 09:00,25
Sigma app,2015/06/24 10:00,29
Sigma app,2015/06/24 11:00,17
Sigma app,2015/06/24 12:00,21
Sigma app,2015/06/24 13:00,19
Sigma app,2015/06/24 14:00,26
Sigma app,2015/06/24 15:00,16
Sigma app,2015/06/24 16:00,15
Sigma app,2015/06/24 17:00,18
Sigma app,2015/06/24 18:00,29
Sigma app,2015/06/24 19:00,17
Sigma app,2015/06/24 20:00,20
Sigma app,2015/06/24 21:00,19
Sigma app,2015/06/24 22:00,8
Sigma app,2015/06/24 23:00,10
