key,value,date
Youtube videos,100,01/06/15 00:00
Youtube videos,150,01/06/15 01:00
Youtube videos,350,01/06/15 02:00
Youtube videos,380,01/06/15 03:00
Youtube videos,220,01/06/15 04:00
Youtube videos,160,01/06/15 05:00
Youtube videos,170,01/06/15 06:00
Youtube videos,120,01/06/15 07:00
Youtube videos,170,01/06/15 08:00
Youtube videos,330,01/06/15 09:00
Youtube videos,400,01/06/15 10:00
Youtube videos,320,01/06/15 11:00
Youtube videos,260,01/06/15 12:00
Youtube videos,350,01/06/15 13:00
Youtube videos,400,01/06/15 14:00
Youtube videos,320,01/06/15 15:00
Youtube videos,260,01/06/15 16:00
Youtube videos,220,01/06/15 17:00
Youtube videos,160,01/06/15 18:00
Youtube videos,220,01/06/15 19:00
Youtube videos,250,01/06/15 20:00
Youtube videos,220,01/06/15 21:00
Youtube videos,150,01/06/15 22:00
Youtube videos,390,01/06/15 23:00
Youtube videos,440,01/06/15 24:00
Facebook ads,350,01/06/15 00:00
Facebook ads,360,01/06/15 01:00
Facebook ads,370,01/06/15 02:00
Facebook ads,220,01/06/15 03:00
Facebook ads,240,01/06/15 04:00
Facebook ads,260,01/06/15 05:00
Facebook ads,340,01/06/15 06:00
Facebook ads,210,01/06/15 07:00
Facebook ads,180,01/06/15 08:00
Facebook ads,450,01/06/15 09:00
Facebook ads,320,01/06/15 10:00
Facebook ads,350,01/06/15 11:00
Facebook ads,300,01/06/15 12:00
Facebook ads,280,01/06/15 13:00
Facebook ads,270,01/06/15 14:00
Facebook ads,260,01/06/15 15:00
Facebook ads,150,01/06/15 16:00
Facebook ads,300,01/06/15 17:00
Facebook ads,350,01/06/15 18:00
Facebook ads,220,01/06/15 19:00
Facebook ads,220,01/06/15 20:00
Facebook ads,350,01/06/15 21:00
Facebook ads,300,01/06/15 22:00
Facebook ads,220,01/06/15 23:00
Facebook ads,320,01/06/15 24:00
Twitter ads,210,01/06/15 00:00
Twitter ads,250,01/06/15 01:00
Twitter ads,270,01/06/15 02:00
Twitter ads,230,01/06/15 03:00
Twitter ads,240,01/06/15 04:00
Twitter ads,110,01/06/15 05:00
Twitter ads,200,01/06/15 06:00
Twitter ads,290,01/06/15 07:00
Twitter ads,300,01/06/15 08:00
Twitter ads,360,01/06/15 09:00
Twitter ads,330,01/06/15 10:00
Twitter ads,430,01/06/15 11:00
Twitter ads,400,01/06/15 12:00
Twitter ads,340,01/06/15 13:00
Twitter ads,280,01/06/15 14:00
Twitter ads,260,01/06/15 15:00
Twitter ads,270,01/06/15 16:00
Twitter ads,310,01/06/15 17:00
Twitter ads,260,01/06/15 18:00
Twitter ads,370,01/06/15 19:00
Twitter ads,210,01/06/15 20:00
